,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
1996-12-01,-0.5530500000000655,0.006277079533406615,0.6899999999999995,1.26,215.2563,1370.0,-8.9,0.03000000000000025,50765.0,300179.0,0.0,0.5136368433634431
1997-01-01,-0.5530500000000655,0.0017611295928947612,0.6699999999999999,1.41,204.9099,1355.0,-10.3,-0.20999999999999996,51958.0,300765.0,-0.10000000000000053,1.5039673429546951
1997-02-01,-0.5530500000000655,0.01191969806513593,0.6300000000000008,1.28,188.8185,1486.0,-10.3,-0.20999999999999996,54285.0,310604.0,-0.09999999999999964,2.117732408514435
1997-03-01,-0.5530500000000655,0.006031779470122345,0.6299999999999999,1.41,192.4289,1457.0,-10.3,-0.20999999999999996,54195.0,307465.0,0.0,-0.3324709942466342
1997-04-01,-1.5503757802746567,0.0009057125485338879,0.6099999999999994,1.59,196.7678,1492.0,-5.8,-0.03000000000000025,55044.0,313694.0,-0.10000000000000053,-1.754416292363949
1997-05-01,-0.051647660636562676,0.005376425395480888,0.6199999999999992,1.51,197.3687,1442.0,-5.8,-0.03000000000000025,53924.0,308733.0,-0.1999999999999993,4.570546385529752
1997-06-01,-0.051647660636562676,0.004556679578303413,0.6099999999999994,1.42,185.1689,1494.0,-5.8,-0.03000000000000025,55972.0,315090.0,0.09999999999999964,2.838601793561665
1997-07-01,0.44673084112175065,0.008027552987714737,0.6100000000000003,1.03,192.2873,1437.0,-7.0,0.08000000000000007,58969.0,318485.0,-0.09999999999999964,3.235471675922348
1997-08-01,-0.05218138957809773,0.010300842537367183,0.6000000000000005,1.02,195.7684,1390.0,-7.0,0.08000000000000007,58232.0,319106.0,-0.10000000000000053,0.13839190759699704
1997-09-01,-0.05218138957809773,0.009683636822571007,0.5499999999999998,1.13,201.7335,1546.0,-7.0,0.08000000000000007,60143.0,318687.0,0.10000000000000053,0.7076116289411303
1997-10-01,0.9502383900928805,0.008545888337932794,0.5700000000000003,0.92,208.1534,1520.0,1.8,0.020000000000000018,57582.0,319565.0,-0.20000000000000018,0.9693105867437168
1997-11-01,0.9502383900928805,0.0077852006584331335,0.5499999999999998,0.6,188.6889,1510.0,1.8,0.020000000000000018,57967.0,334896.0,-0.10000000000000053,-0.687243629647611
1997-12-01,-0.05174956843394435,0.004533547294796492,0.5600000000000005,0.51,175.623,1566.0,1.8,0.020000000000000018,58401.0,315121.0,0.10000000000000053,1.6564936113129392
