yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1965,92.43,2.720,5.190,0.4306378062,0.0438,0.0468,0.0502,0.0450,-0.0083115506,0.02083751873,0.039291,0.0192307692,0.1420710355,0.0070193698,-0.0045679390,0.0045891927,-0.0008128875,0.0420390432,0.1261044666,0.0922247915
1966,80.33,2.870,5.550,0.5769451056,0.0496,0.0539,0.0618,0.0455,-0.0107526576,0.01720762950,0.047937,0.0345911950,0.1390471975,0.0364500828,0.0019529199,0.0139352897,-0.0000498789,0.0420459562,-0.1019558205,-0.1320755529
1967,96.47,2.920,5.330,0.5257924451,0.0497,0.0619,0.0693,0.0556,-0.0255395864,0.01436111003,0.043643,0.0303951368,0.1146866683,-0.0917652652,-0.0495058682,0.0069893899,0.0029522247,0.0395173079,0.2396152265,0.2010478172
1968,103.86,3.070,5.760,0.5049006623,0.0596,0.0645,0.0723,0.0598,-0.0296658919,0.03196144670,0.053152,0.0471976401,0.2086406264,-0.0025737775,0.0257391321,0.0073994539,0.0023475611,0.0395161122,0.1082662744,0.0743316131
1969,92.06,3.160,5.780,0.6510820131,0.0782,0.0772,0.0865,0.0687,-0.0240752067,0.03427378330,0.065314,0.0619718310,0.3139513144,-0.0507360149,-0.0809043139,0.0100154301,0.0008222518,0.0392965654,-0.0831867418,-0.1130552437
1970,92.15,3.140,5.130,0.6464263577,0.0487,0.0764,0.0912,0.0648,-0.0312612282,0.03146170745,0.069880,0.0557029178,0.2228841413,0.1210218070,0.1837137902,0.0230433852,0.0015125012,0.0356453237,0.0398707262,0.0016368890
1971,102.09,3.070,5.700,0.6439002471,0.0401,0.0725,0.0838,0.0597,-0.0453453000,0.03402335865,0.044959,0.0326633166,0.2874473276,0.1323672163,0.1101258599,0.0104616715,0.0022538795,0.0357976095,0.1445096560,0.1091194810
1972,118.05,3.150,6.420,0.5956745946,0.0507,0.0708,0.0793,0.0599,-0.0422315963,0.03420348373,0.041401,0.0340632603,0.3112948972,0.0568244212,0.0725975175,0.0063616018,0.0003114465,0.0381357877,0.1911709947,0.1576285747
1973,97.55,3.380,8.160,0.7555884634,0.0745,0.0768,0.0848,0.0726,-0.0478332830,0.01300739512,0.068263,0.0870588235,0.3330837651,-0.0111038792,0.0113949647,0.0250687130,-0.0006401994,0.0398188183,-0.1479659850,-0.1748789560
1974,68.56,3.600,8.890,1.1200181747,0.0715,0.0889,0.1063,0.0760,-0.0325990537,0.00877157396,0.080761,0.1233766234,0.1630644740,0.0434264930,-0.0306175125,0.0480428357,-0.0008304879,0.0362270024,-0.2642616772,-0.2966192276
1975,90.19,3.680,7.960,0.8763388510,0.0544,0.0879,0.1056,0.0805,-0.0322037573,0.02371196556,0.062403,0.0693641618,0.2025998732,0.0918688772,0.1464425633,0.0242633905,-0.0004651156,0.0329138390,0.3696248057,0.3136593997
1976,107.46,4.050,9.910,0.7799731250,0.0435,0.0798,0.0912,0.0721,-0.0226736345,0.02856655430,0.053360,0.0486486486,0.2079280292,0.1676451102,0.1864686938,0.0124671299,-0.0011227041,0.0343102747,0.2391598367,0.1911752505
1977,95.10,4.670,10.890,0.9603330245,0.0607,0.0819,0.0899,0.0803,-0.0165628179,0.03047539917,0.050371,0.0670103093,0.2189359012,-0.0069885475,0.0170977832,0.0082597531,-0.0018338899,0.0368514349,-0.0742660551,-0.1169251284
1978,96.11,5.070,12.330,1.0457012956,0.0908,0.0916,0.0994,0.0898,-0.0146414122,0.01485055220,0.069064,0.0901771337,0.2194491525,-0.0116586903,-0.0007035631,0.0158011389,-0.0015481539,0.0405745377,0.0641148819,0.0094480290
1979,107.94,5.650,14.860,1.0619500680,0.1204,0.1074,0.1206,0.1012,-0.0076027018,0.01051446470,0.098113,0.1329394387,0.2200567387,-0.0125031159,-0.0420041055,0.0118230234,-0.0003711309,0.0402395372,0.1858775503,0.1228349941
1980,135.76,6.160,14.820,0.8915030239,0.1549,0.1321,0.1514,0.1199,-0.0040911552,0.02681637541,0.116081,0.1251629726,0.2780242893,-0.0395298640,-0.0275652601,0.0273419077,0.0010201575,0.0377346843,0.3259018391,0.2598405964
1981,122.55,6.630,15.360,1.0611428571,0.1085,0.1423,0.1655,0.1334,0.0026654549,0.01190964641,0.153848,0.0892236385,0.3621751368,0.0185697056,-0.0123619324,0.0181306748,-0.0012794664,0.0390341703,-0.0486389437,-0.0965327926
1982,140.64,6.870,12.640,0.9322147266,0.0794,0.1183,0.1414,0.1095,0.0060105960,0.00299005349,0.114356,0.0382978723,0.3647539027,0.4035036914,0.4256189930,0.0334409255,-0.0013463488,0.0337157110,0.2214058493,0.1539185964
1983,164.93,7.090,14.030,0.7003591178,0.0900,0.1257,0.1375,0.1197,0.0215924924,0.02705689697,0.087959,0.0379098361,0.4300077533,0.0065190631,0.0625857638,0.0178707691,-0.0016937271,0.0359738743,0.2228105240,0.1701272287
1984,167.24,7.530,16.640,0.7330983765,0.0806,0.1213,0.1340,0.1170,0.0123925983,-0.02719678659,0.100475,0.0394866732,0.1707374124,0.1549249798,0.1686015770,0.0162509715,-0.0011276635,0.0390219005,0.0668990781,0.0183949595
1985,211.28,7.900,14.610,0.5926926882,0.0710,0.1016,0.1158,0.0956,0.0245002949,-0.01946508154,0.078797,0.0379867047,0.1764553905,0.3097114501,0.3009088979,0.0105177395,-0.0017213560,0.0381501608,0.3197942599,0.2661981306
1986,242.17,8.280,14.480,0.4984308658,0.0553,0.0849,0.0997,0.0789,0.0148817423,-0.01137599929,0.064184,0.0109789570,0.1647341554,0.2452123788,0.1984747725,0.0216761629,-0.0022403247,0.0352562763,0.1806540515,0.1386985249
1987,247.08,8.810,17.500,0.5088120155,0.0577,0.1011,0.1129,0.0920,0.0257531063,0.01327475603,0.059246,0.0443438914,0.1504068250,-0.0271656845,-0.0026759109,0.1033270304,-0.0027006902,0.0346797574,0.0515578982,0.0164201051
